cluster,PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
0,1360.0,1046.0,1056.0,1692.0,1268.0,13.6,48.9,0.7578
2,1292.0,955.0,1174.0,1559.0,972.0,13.3,47.7,0.7255
2,1402.0,939.0,1140.0,1555.0,1074.0,11.9,54.0,0.7502
2,1376.0,948.0,1092.0,1584.0,1203.0,11.0,60.0,0.7867
2,1272.0,836.0,1205.0,1490.0,1110.0,11.2,59.6,0.7888
2,1197.0,750.0,1337.0,1393.0,949.0,11.2,59.2,0.7848
2,1185.0,690.0,1462.0,1333.0,733.0,11.3,56.8,0.7603
2,1136.0,672.0,1453.0,1333.0,730.0,10.7,60.0,0.7702
2,1094.0,609.0,1579.0,1276.0,620.0,10.7,59.7,0.7648
2,1010.0,561.0,1705.0,1235.0,501.0,10.3,60.2,0.7517
2,1011.0,527.0,1818.0,1197.0,445.0,10.1,60.5,0.7465
2,1066.0,512.0,1918.0,1182.0,422.0,11.0,56.2,0.7366
2,1052.0,553.0,1738.0,1221.0,472.0,10.5,58.1,0.7353
2,1144.0,667.0,1490.0,1339.0,730.0,10.2,59.6,0.7417
2,1333.0,900.0,1136.0,1517.0,1102.0,10.8,57.4,0.7408
2,1351.0,960.0,1079.0,1583.0,1028.0,10.5,60.6,0.7691
2,1233.0,827.0,1218.0,1446.0,860.0,10.8,58.4,0.7552
2,1179.0,762.0,1328.0,1362.0,671.0,10.5,57.9,0.7352
2,1236.0,774.0,1301.0,1401.0,664.0,9.5,66.8,0.7951
2,1286.0,869.0,1162.0,1537.0,799.0,8.3,76.4,0.8393
0,1371.0,1034.0,983.0,1730.0,1037.0,8.0,81.1,0.8736
2,1310.0,933.0,1082.0,1647.0,946.0,8.3,79.8,0.8778
2,1292.0,912.0,1103.0,1591.0,957.0,9.7,71.2,0.8569
0,1383.0,1020.0,1008.0,1719.0,1104.0,9.8,67.6,0.8185
0,1581.0,1319.0,799.0,2083.0,1409.0,10.3,64.2,0.8065
0,1776.0,1488.0,702.0,2333.0,1704.0,9.7,69.3,0.8319
0,1640.0,1404.0,743.0,2191.0,1654.0,9.6,67.8,0.8133
0,1313.0,1076.0,957.0,1707.0,1285.0,9.1,64.0,0.7419
2,965.0,749.0,1325.0,1333.0,821.0,8.2,63.4,0.6905
2,913.0,629.0,1565.0,1252.0,552.0,8.2,60.8,0.6657
2,1080.0,805.0,1254.0,1375.0,816.0,8.3,58.5,0.6438
2,1044.0,829.0,1247.0,1378.0,832.0,7.7,59.7,0.6308
2,988.0,718.0,1396.0,1304.0,692.0,7.1,61.8,0.6276
2,889.0,574.0,1680.0,1187.0,512.0,7.0,62.3,0.6261
2,831.0,506.0,1893.0,1134.0,384.0,6.1,65.9,0.6248
2,847.0,501.0,1895.0,1155.0,394.0,6.3,65.0,0.6233
2,927.0,571.0,1685.0,1223.0,487.0,6.8,62.9,0.6234
2,1091.0,730.0,1387.0,1361.0,748.0,6.4,65.1,0.6316
0,1587.0,1236.0,897.0,1900.0,1400.0,7.3,63.1,0.6499
0,1545.0,1353.0,767.0,2058.0,1588.0,9.2,56.2,0.6561
0,1350.0,1118.0,912.0,1712.0,1237.0,13.2,41.7,0.632
1,1263.0,1037.0,969.0,1598.0,1167.0,14.3,38.4,0.6243
2,1206.0,986.0,1035.0,1537.0,959.0,15.0,36.5,0.6195
1,1252.0,1016.0,1008.0,1593.0,983.0,16.1,34.5,0.6262
1,1287.0,1078.0,949.0,1660.0,1061.0,16.3,35.7,0.656
0,1353.0,1122.0,922.0,1740.0,1139.0,15.8,37.0,0.661
0,1309.0,1073.0,954.0,1657.0,1112.0,15.9,37.2,0.6657
1,1274.0,1041.0,1006.0,1610.0,994.0,16.9,34.3,0.6549
0,1510.0,1277.0,812.0,1910.0,1410.0,15.1,39.6,0.6766
0,1525.0,1246.0,821.0,1847.0,1448.0,14.4,43.4,0.7084
0,1843.0,1610.0,624.0,2390.0,1887.0,12.9,50.5,0.7478
0,1598.0,1299.0,752.0,1941.0,1627.0,12.1,53.3,0.7536
0,1484.0,1127.0,839.0,1723.0,1491.0,11.0,59.1,0.774
0,1677.0,1346.0,741.0,2062.0,1657.0,9.7,64.6,0.7771
0,1280.0,964.0,963.0,1544.0,1285.0,9.5,64.1,0.7597
2,1196.0,873.0,1071.0,1463.0,1144.0,9.1,63.9,0.7423
2,1184.0,782.0,1176.0,1365.0,1043.0,8.8,63.9,0.7256
